pmid,gene_id,gene_text,title,journal
20930557,835809,ABI2,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,834666,KAT1,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,827555,KAT2,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,835306,RD29B,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20952421,817901,RD20,"RD20, a stress-inducible caleosin, participates in stomatal control, transpiration and drought tolerance in Arabidopsis thaliana.",Plant Cell Physiol. 2010 Dec
20959419,835919,AtTIL,Linking the salt transcriptome with physiological responses of a salt-resistant Populus species as a strategy to identify genes important for stress acclimation.,Plant Physiol. 2010 Dec
20976458,842007,LAS,Overexpression of the Brassica napus BnLAS gene in Arabidopsis affects plant development and increases drought tolerance.,Plant Cell Rep. 2011 Mar
20976458,837602,CER1,Overexpression of the Brassica napus BnLAS gene in Arabidopsis affects plant development and increases drought tolerance.,Plant Cell Rep. 2011 Mar
20976458,828553,CER2,Overexpression of the Brassica napus BnLAS gene in Arabidopsis affects plant development and increases drought tolerance.,Plant Cell Rep. 2011 Mar
20976458,839395,KCS1,Overexpression of the Brassica napus BnLAS gene in Arabidopsis affects plant development and increases drought tolerance.,Plant Cell Rep. 2011 Mar
20976458,839578,KCS2,Overexpression of the Brassica napus BnLAS gene in Arabidopsis affects plant development and increases drought tolerance.,Plant Cell Rep. 2011 Mar
20978086,838470,Calcium-dependent protein kinase,Calcium-dependent protein kinase CPK21 functions in abiotic stress response in Arabidopsis thaliana.,Mol Plant. 2011 Jan
20978086,825807,CPK21,Calcium-dependent protein kinase CPK21 functions in abiotic stress response in Arabidopsis thaliana.,Mol Plant. 2011 Jan
21051239,827991,PPOX,"Expression, in vivo localization and phylogenetic analysis of a pyridoxine 5'-phosphate oxidase in Arabidopsis thaliana.",Plant Physiol Biochem. 2011 Jan
21051239,821181,PNP,"Expression, in vivo localization and phylogenetic analysis of a pyridoxine 5'-phosphate oxidase in Arabidopsis thaliana.",Plant Physiol Biochem. 2011 Jan
21051239,835061,AtPPOX,"Expression, in vivo localization and phylogenetic analysis of a pyridoxine 5'-phosphate oxidase in Arabidopsis thaliana.",Plant Physiol Biochem. 2011 Jan
21169508,840218,GTL1,The Arabidopsis GTL1 transcription factor regulates water use efficiency and drought tolerance by modulating stomatal density via transrepression of SDD1.,Plant Cell. 2010 Dec
21169508,839287,SDD1,The Arabidopsis GTL1 transcription factor regulates water use efficiency and drought tolerance by modulating stomatal density via transrepression of SDD1.,Plant Cell. 2010 Dec
21193345,818566,P5CS1,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21193345,835307,RD29A,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
